Question,Answer
"Before starting with the main questions, Dr. Schoepf, how are you today? How has the week been in preparing many projects for students starting in EPICS? How well can you manage it?",null
"As part of the preparation process for this interview, we researched important information about you in the ASU Search page and LinkedIn and were intrigued to learn that you graduated with a PhD in Chemical Engineering. Why did you decide to follow this path? How does the knowledge you gained not only during your PhD but in your bachelor's and master's degree as well has helped you in aiding students?",null
"Part of your research has been centered around the detection of nanomaterials in aqueous and solid environments. Additionally, you co-founded SafeSIPP, a company focused on clean water solutions and thus, water purification. Based on the knowledge gained, how feasible is it to develop the project that we are trying to build: an acid-water detection device? What are the difficulties that we might encounter or must deal with in the short term and long term?",null
"What is the problem in concrete? In other words, are there any additional details besides the ones on the project’s webpage that we should be aware of?",null
"What does the sensor need to record to detect pH levels? How much focus should we put on cofounding factors like temperature, air pollution, among others?",null
What data do farmers expect? Do they want detailed records in graphs or are they comfortable with only knowing the pH level: whether it is acidic or not?,null
How persistent is the problem today compared to a year ago? Has there been any major changes that we should take into account?,null
Who are the stakeholders/users of the project and how do they intend to use the solution?,null
What is currently being done to monitor rainwater acidity in the target regions of Vietnam?,null
What are the current problems with the pre-existing design that we should account for?,"Before ending the interview, based on your expertise and knowledge of the topic, which additional resources would you recommend us to follow/learn that could help us in designing"
"the project, understanding the science and technical demands required to bring the project to life?",null
What is the expected timeline for this project?,null
Is there specific software we should be using to create the database or is it up to us to choose one?,null
What are the needs this project must meet?,null
What are the issues with the current system being used?,null
Were there any issues with the previous semester’s proposal for this project?,null
What type of data needs to be shared through the database?,null
Why did the previous team leave the project?,null
What server will be hosting our database?,null
How often should we communicate with the study abroad team?,null
How many teams are we expected to work with?,null
What is the current system being used to store their data?,null
How are we going to access our chosen team’s data?, null
What is the problem you are trying to solve?,null
What is your ideal product at delivery?, null
What is the scope of the project and where do you see it heading?,null
What is the probable payload?,null
What are the probable deadlines for the project?,null
When can we set up another meeting?,null
What crops do you usually plant in the area?, null
Does Encounter use any fertilizers or pesticides?, null
Are there any materials on site we can use for the project?,null
What Do you like or dislike about the current Flood system?,null
What do you wish it would be different?, null
What is your opinion on sprinkler systems and drip irrigation systems?, null
What is your current method of controlling the irrigation system (if it is automated)?,null
"What kind of storage system would you like, Natural (lake/pond) or Artificial (Tank)?",null
Does the church impose regulations about what can and cannot be done?,null
What is the main purpose of the screen? Why do you want it in the museum?,null
What size do you want the interactive screen to be?,null
What information do you want shown on the screen?,null
What kind of interactive components would you like to implement on the screen?,null
What is the age demographic of the target audience?,null
"Is there an intended budget for this project? If yes, what would be the allotted amount?",null
Is the content to be displayed prepared already?,null
How many screens to be displayed in the exhibit?,null
How would you want the screen to be positioned?,null
How often do you want the content displayed on the screen to be updated?,null
"Despite finding the previous team member’s old documents, we have been unsuccessful in picturing how far along the project had come. Do you have any experience with the previous models? And if you do, would you mind telling us more about the original prototype?",null
"What is your experience with the channels used by the previous team such as ROS2, SLAM, and weed detection?","How can we better tailor this project to your needs as a community partner? The previous team covered a lot of ground but since we are starting from scratch now, now is a great time to implement more things into the initial model."
What made you get involved with this project in the first place? Did you reach out to EPICS or did the Farmbots team reach out to you?,null
What has your overall involvement looked like with the team? Are you involved in the heavy technical aspects as well or do you focus more on design initiatives and pain points?,null
"Do you have any contact with the previous members of Farmbots? If so, could you relay their contact information to us?","Were there any integration challenges from the previous model that you know of? If so, we will do our best to avoid that aspect of design."
"Are there any specific communicational milestones that you expect from us? Would you like us to email you weekly, monthly, or just when the project is successfully updated?",
"Some of the previous documents refer to an autonomous movement detection program; however, when looking through the documents that the old members had left behind, we could not find any examples of this program, unlike a lot of other aspects of the previous prototype. Do you have any experience with this program?",null
Is there an alternative method of communication that you may prefer to email and Zoom. We noticed that you had a WhatsApp group with the old members of Farmbots. Would you like to set up that group during our meeting?,
What is the problem that you are facing?,null
What aspects of our designed solution are most important to you?,null
Can you provide details about the specific challenges the person in the wheelchair faces while shopping for groceries independently?,null
"How does the current process of assistance in grocery shopping work, and what are the limitations of this method? Why do you need dogs instead of humans?",null
Are there specific types of food items or sections in the grocery store where assistance is needed more than others?,null
What kind of training or assistance has been considered for the service dog to perform tasks such as grabbing items off the shelves?,null
"Have there been any attempts or solutions in the past to address this issue, and if so, what were the outcomes?",null
Can you describe the characteristics or skills that would be essential for a service dog to successfully assist in grocery shopping?,null
Are there any safety concerns or considerations that need to be taken into account when designing a device or training aid for the service dog?,null
"How comfortable is the person with the idea of relying on a service dog for grocery shopping, and are there any specific preferences or concerns they have?",null
Are there specific regulations or guidelines that need to be followed in training service dogs for such tasks in public places like grocery stores?,null
What level of collaboration and involvement is expected from the person in the wheelchair in training the service dog for grocery shopping tasks?,null
Are there any additional resources or contacts you would recommend for us to explore in the context of service dog training for grocery store assistance?,null
Can you share your experience working with service animals or projects similar to PowerPaws?,null
Are there specific training methods or certifications that you believe would be beneficial for a service dog	in	this	context?,null
"What is the extent of the disability the disabled person has, is he/she able to move his/her hand?",null
What is the budget?,null
How are dogs currently introduced to working with wheelchairs?,null
Why is there a problem with it currently?,null
What are the safety concerns?,null
"What are the dogs' current reactions to the wheelchair? Scared, confused, defensive?",null
What kind of actions or activities will the dog and trainer be expected to do?,null
How long is the training process?,null
Why is it this long?,null
What’s your company’s approach to meeting individual needs?,null
What breeds and sizes of dogs will be used for training?,null
What kind of wheelchairs will be used for training?,null
What constraints are there on the solution’s size or placement?,null
How many dogs are we going to be training?,null
What differentiates your organization from others?,null
What are the previous successes and failures you had with wheelchair users?,null
What kind of permits are required to be in appropriate operating conditions for the city of Tempe?,null
Are there any specific zoning laws on the street?,null
What are the usual costs for obtaining the proper permits?,null
Would there be any concerns about the cleaning robot's operating hours?,null
How frequently should the robot be operated?,null
Could it be once a day? Every few days?,null
Would it be possible to have some sort of charging/storage space for the robot when it isn’t operating?,null
Are there concerns about the sustainability of the robot?,null
Would the city require some sort of city department or student organization to maintain the robot once the project is delivered?,null
Would there be someone to dispose of any trash or debris that the robot would pick up?,null
"In terms of design decisions, would you prefer for there to be an on-board rechargeable system through solar panels and batteries or a station for the robot to recharge at?",null
Are environmental conditions a huge concern?,"We have considered using materials that could be sustainable under the intense summer heat, the colder conditions in the winter, dust buildup, and other precautions that will be required to be taken in weatherproofing."
How might the augmented reality map address accessibility concerns for users with different needs?,null
What challenges or pain points have you faced regarding navigation on campus that the augmented reality map could address?,null
What specific areas on campus have been identified as challenging to navigate for ASU students and faculty?,null
What are the preferred development platforms or environments for building the augmented reality map?,null
What devices/OS is the augmented reality map intended to work on?,null
Why did you decide you wanted to work with augmented reality to accomplish this task?,null
"Why do you think that an augmented reality map would best address any navigation concerns for individuals on campus, especially for those who require accessibility accommodations?",null
Why do you think the existing navigation tools for ASU may fall short in meeting the needs of new students and faculty?,null
Are there any existing technologies or platforms that you are currently using for the existing problem?,null
"Are you planning to implement the map indoors, outdoors, or both?",null
Can you share examples of similar initiatives or projects that were successful?,null
Why are you Interested in this project?,null
What qualities do you look for in your potential partners?,null
How are you going to help us achieve this goal?,null
Why do you believe your food bank was successful?,null
How does your food bank collaborate with other organizations?,null
What food items were commonly requested?,null
What specific groups or demographics have you targeted?,null
How did you approach different businesses for food? Was it difficult?,null
What challenges are you still facing?,null
Why are foodbanks necessary in college?,null
Why is your college working alongside St. Mary’s Food Bank Alliance specifically?,null
"Besides providing food, how else has St. Mary’s Food Bank helped start this food pantry?",null
How much does it cost to maintain a Food Bank?,
What sport or sports are you interested in having an adaptability device for?,Soccer (primary)
What makes those sports currently inaccessible to some people?,"Depends on the sport, more information could be gained from talking to athletes"
"What specific problem in the current market for athlete's prosthetics are you trying to solve? In other words, what criteria would a successful design meet?",The market potential for adaptive sports is larger than we think
(Follow up to #3) Why does this problem in the market exist?,"Cost, especially a barrier to someone with additional medical issues given that there is no medical waiver / insurance help"
Will we be designing a prosthetic for a specific individual or individuals?,"No, we could speak to athletes to learn more"
Which specific body part would you like us to design a prosthetic for?,null
What kinds of accessibility devices do people without mobility in that area currently use in daily life? Do you know specific examples of such mobility brands or products?,Personal modification of existing mobility devices is common for specializing in certain sports
What is the most common adaptive sports equipment?,"Running equipment, the blade prosthetics used for running are currently a thousand $ or more"
What are the current issues/challenges you have with the devices?,Expensive
